finding_number,check_id,severity,path,line_start,line_end,disposition,evidence_basis,owner,decision
15,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,47,47,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
16,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,59,59,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
17,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,107,107,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
18,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,109,109,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
19,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,118,118,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
20,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,163,163,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
21,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,177,177,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
22,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,213,213,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
23,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,226,226,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
24,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,227,227,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
25,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,229,229,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
26,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,234,234,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
27,yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag,WARNING,.github/workflows/release.yml,240,240,OPEN_MANUAL_REVIEW_REQUIRED,mutable action reference requires trusted SHA pin review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
28,javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket,ERROR,API.md,444,444,OPEN_MANUAL_REVIEW_REQUIRED,documentation or non-active example; scanner finding retained,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
29,javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket,ERROR,API.zh-TW.md,468,468,OPEN_MANUAL_REVIEW_REQUIRED,documentation or non-active example; scanner finding retained,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
30,javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket,ERROR,README.md,363,363,OPEN_MANUAL_REVIEW_REQUIRED,documentation or non-active example; scanner finding retained,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
31,javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket,ERROR,README.zh-TW.md,362,362,OPEN_MANUAL_REVIEW_REQUIRED,documentation or non-active example; scanner finding retained,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
32,html.security.audit.missing-integrity.missing-integrity,WARNING,docs/mcp-call-flow.html,7,7,OPEN_MANUAL_REVIEW_REQUIRED,external HTML asset integrity requires owner decision,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
33,javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket,ERROR,docs/playwright-patches.md,27,27,OPEN_MANUAL_REVIEW_REQUIRED,documentation or non-active example; scanner finding retained,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
34,javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket,ERROR,docs/playwright-patches.zh-TW.md,28,28,OPEN_MANUAL_REVIEW_REQUIRED,documentation or non-active example; scanner finding retained,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
35,javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket,ERROR,docs/wbs.md,1641,1641,OPEN_MANUAL_REVIEW_REQUIRED,documentation or non-active example; scanner finding retained,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
36,typescript.react.security.react-insecure-request.react-insecure-request,ERROR,extension/sidebar/app.js,17,17,OPEN_MANUAL_REVIEW_REQUIRED,loopback HTTP request with browser-stored auth requires threat-model review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
37,typescript.react.security.react-insecure-request.react-insecure-request,ERROR,extension/sidebar/app.js,70,74,OPEN_MANUAL_REVIEW_REQUIRED,loopback HTTP request with browser-stored auth requires threat-model review,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
38,html.security.audit.missing-integrity.missing-integrity,WARNING,forge-dashboard/client/index.html,8,8,OPEN_MANUAL_REVIEW_REQUIRED,external HTML asset integrity requires owner decision,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
39,go.lang.security.audit.xss.no-direct-write-to-responsewriter.no-direct-write-to-responsewriter,WARNING,internal/api/dashboard.go,14,14,MITIGATED_CONTROL_SCANNER_OPEN,embedded static dashboard bytes; scanner rule remains open,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
40,javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket,ERROR,internal/api/sessions.go,432,432,MITIGATED_CONTROL_SCANNER_OPEN,loopback-only validated internal endpoint; bounded dial; targeted tests,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
41,javascript.lang.security.detect-insecure-websocket.detect-insecure-websocket,ERROR,internal/api/sessions.go,441,441,MITIGATED_CONTROL_SCANNER_OPEN,loopback-only validated internal endpoint; bounded dial; targeted tests,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
42,go.lang.security.audit.crypto.math_random.math-random-used,WARNING,internal/fingerprint/pool.go,7,7,OPEN_MANUAL_REVIEW_REQUIRED,non-cryptographic pool selection; confirm non-secret use,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
43,go.lang.security.audit.crypto.math_random.math-random-used,WARNING,internal/humanize/keyboard.go,5,5,OPEN_MANUAL_REVIEW_REQUIRED,non-cryptographic pool selection; confirm non-secret use,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
44,go.lang.security.audit.crypto.math_random.math-random-used,WARNING,internal/humanize/math.go,5,5,OPEN_MANUAL_REVIEW_REQUIRED,non-cryptographic pool selection; confirm non-secret use,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
45,go.lang.security.audit.crypto.math_random.math-random-used,WARNING,internal/humanize/mouse.go,4,4,OPEN_MANUAL_REVIEW_REQUIRED,non-cryptographic pool selection; confirm non-secret use,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
46,go.lang.security.audit.dangerous-exec-command.dangerous-exec-command,ERROR,internal/runtime/qualification.go,85,85,MITIGATED_CONTROL_SCANNER_OPEN,bounded absolute-path probe; timeout; temp cleanup; fail-closed tests,OWNER_UNASSIGNED,OPEN_MANUAL_REVIEW_REQUIRED
