R5_A_ID	STATUS	RULE	FILE	LINE	DETAILS	CONTROL_OR_REVIEW	EVIDENCE
R5-A-012	OPEN_REVIEW	G404	internal/humanize/math.go	115	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-013	OPEN_REVIEW	G404	internal/humanize/math.go	108	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-014	OPEN_REVIEW	G404	internal/humanize/math.go	98	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-015	OPEN_REVIEW	G404	internal/humanize/math.go	97	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-016	OPEN_REVIEW	G404	internal/humanize/math.go	77	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-017	OPEN_REVIEW	G404	internal/humanize/math.go	76	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-018	OPEN_REVIEW	G404	internal/humanize/math.go	59	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-019	OPEN_REVIEW	G404	internal/humanize/math.go	55	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-020	OPEN_REVIEW	G404	internal/humanize/math.go	49	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-021	OPEN_REVIEW	G404	internal/humanize/keyboard.go	92	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-022	OPEN_REVIEW	G404	internal/humanize/keyboard.go	58	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-023	OPEN_REVIEW	G404	internal/fingerprint/pool.go	64	Use of weak random number generator (math/rand or math/rand/v2 instead of crypto/rand)	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-024	OPEN_REVIEW	G704	internal/api/sessions.go	478	SSRF via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-025	OPEN_REVIEW	G704	cmd/server/cli_runtime.go	1032	SSRF via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-026	OPEN_REVIEW	G704	cmd/server/cli_runtime.go	964	SSRF via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-027	OPEN_REVIEW	G704	cmd/server/cli_runtime.go	959	SSRF via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-028	OPEN_REVIEW	G704	cmd/server/cli.go	1088	SSRF via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-029	OPEN_REVIEW	G704	cmd/server/cli.go	1004	SSRF via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-030	OPEN_REVIEW	G704	cmd/server/cli.go	985	SSRF via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-031	OPEN_REVIEW	G101	internal/api/admin_token.go	22	Potential hardcoded credentials	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-032	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	975	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-033	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	972	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-034	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	808	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-035	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	784	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-036	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	781	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-037	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	771	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-038	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	592	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-039	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	582	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-040	OPEN_REVIEW	G703	cmd/server/cli_runtime.go	458	Path traversal via taint analysis	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-041	OPEN_REVIEW	G204	internal/browser/download.go	515	Subprocess launched with variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-042	OPEN_REVIEW	G204	internal/browser/download.go	388	Subprocess launched with variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-043	OPEN_REVIEW	G204	cmd/server/main.go	564	Subprocess launched with variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-044	OPEN_REVIEW	G204	cmd/server/main.go	562	Subprocess launched with variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-045	OPEN_REVIEW	G204	cmd/server/main.go	560	Subprocess launched with variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-046	OPEN_REVIEW	G304	internal/workflow/engine.go	53	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-047	OPEN_REVIEW	G304	internal/fingerprint/pool.go	25	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-048	OPEN_REVIEW	G304	internal/browser/launch_chromium.go	201	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-049	OPEN_REVIEW	G304	internal/browser/download.go	603	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-050	OPEN_REVIEW	G304	internal/browser/archive_security.go	210	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-051	OPEN_REVIEW	G304	internal/browser/archive_security.go	168	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-052	OPEN_REVIEW	G304	internal/browser/archive_security.go	141	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-053	OPEN_REVIEW	G304	internal/api/router.go	833	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-054	OPEN_REVIEW	G304	cmd/server/cli_runtime.go	975	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-055	OPEN_REVIEW	G304	cmd/server/cli_runtime.go	784	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-056	OPEN_REVIEW	G304	cmd/server/cli.go	856	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-057	OPEN_REVIEW	G304	cmd/server/cli.go	572	Potential file inclusion via variable	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-058	OPEN_REVIEW	G305	cmd/server/cli_runtime.go	804	File traversal when extracting zip/tar archive	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-059	OPEN_REVIEW	G302	internal/groups/store.go	48	Expect file permissions to be 0600 or less	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-060	OPEN_REVIEW	G302	internal/browser/download.go	526	Expect file permissions to be 0600 or less	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-061	OPEN_REVIEW	G302	internal/browser/download.go	434	Expect file permissions to be 0600 or less	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-062	OPEN_REVIEW	G302	internal/browser/download.go	374	Expect file permissions to be 0600 or less	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
R5-A-063	OPEN_REVIEW	G302	cmd/server/cli.go	763	Expect file permissions to be 0600 or less	manual review or later bounded lot; no suppression	evidence/GOSEC_R5/gosec_after_r5a.json; R5_A_FINAL_RAW.log
